year,lapped_position,time_to_second,average_delay_CR
1980,5.571428571428571,23.705642857142855,50.91795238095238
1981,6.533333333333333,15.822533333333332,48.99413333333333
1982,4.875,13.834857142857143,33.799395833333335
1983,5.8,26.2236,50.354330952380955
1984,4.625,23.4528125,42.53270833333333
1985,4.8125,24.071,45.07675476190476
1986,4.5,16.871066666666668,34.71167222222222
1987,4.5625,32.406625,51.71536666666667
1988,5.5625,16.9095,46.386735044642855
1989,5.0625,25.138125,44.15289791666667
1990,6.5,10.2284375,36.900711979166665
1991,6.625,11.8885,38.86199892399267
1992,5.25,21.779375,43.97626875
1993,4.6875,28.5945625,48.03851875
1994,5.0625,32.93193333333333,60.51444222222222
1995,4.9411764705882355,20.0520625,42.20735763888889
1996,6.1875,14.04975,48.35991480654762
1997,8.941176470588236,11.46329411764706,41.21289941643324
1998,6.4375,10.727125,40.58496681547619
1999,7.5,7.1295,37.8780988209707
2000,6.470588235294118,9.538764705882352,41.37007973856209
2001,6.882352941176471,13.923764705882352,41.822444047619044
2002,6.647058823529412,8.498823529411766,39.314729178338
2003,7.6875,13.388250000000001,36.85152499774531
2004,8.722222222222221,6.317055555555555,35.913251136363634
2005,8.894736842105264,12.347894736842106,44.82940588972431
2006,9.11111111111111,9.103388888888889,39.7514676366843
2007,8.882352941176471,5.315058823529411,46.64666918767507
2008,10.944444444444445,12.340555555555556,41.52192211723462
2009,12.176470588235293,8.89694117647059,46.7243508912656
2010,11.421052631578947,6.708105263157895,39.637061544011544
2011,10.157894736842104,7.427894736842106,43.10493280374596
2012,13.75,6.08505,42.01851106227106
2013,11.0,11.583,46.18760821327795
2014,11.68421052631579,9.706526315789473,50.505493920407076
2015,9.473684210526315,7.798684210526316,43.95458734817814
2016,9.761904761904763,9.310333333333334,49.039577310520166
2017,7.6,6.5626,39.00267617784993
2018,7.619047619047619,7.226095238095239,35.46089333536833
2019,7.619047619047619,7.785952380952381,39.22984268707483
